2026-04-05 09:42:39,707 - INFO - Batch 50 | Data: 0.001s | Step: 0.118s | Loss: 1.0335
2026-04-05 09:42:53,158 - INFO - Batch 100 | Data: 0.001s | Step: 0.118s | Loss: 0.9613
2026-04-05 09:43:06,611 - INFO - Batch 150 | Data: 0.001s | Step: 0.118s | Loss: 0.8968
2026-04-05 09:43:20,066 - INFO - Batch 200 | Data: 0.001s | Step: 0.118s | Loss: 0.9456
2026-04-05 09:43:33,516 - INFO - Batch 250 | Data: 0.001s | Step: 0.118s | Loss: 1.6360
2026-04-05 09:43:46,969 - INFO - Batch 300 | Data: 0.001s | Step: 0.118s | Loss: 1.0147
2026-04-05 09:44:00,426 - INFO - Batch 350 | Data: 0.001s | Step: 0.118s | Loss: 0.9392
2026-04-05 09:44:22,273 - INFO - Batch 0 | Data: 0.072s | Step: 0.118s | Loss: 0.9486
2026-04-05 09:44:35,720 - INFO - Batch 50 | Data: 0.001s | Step: 0.118s | Loss: 0.7402
2026-04-05 09:44:49,172 - INFO - Batch 100 | Data: 0.001s | Step: 0.118s | Loss: 0.8635
2026-04-05 09:45:02,626 - INFO - Batch 150 | Data: 0.001s | Step: 0.118s | Loss: 1.1767
2026-04-05 09:45:16,081 - INFO - Batch 200 | Data: 0.001s | Step: 0.118s | Loss: 0.9590
2026-04-05 09:45:29,533 - INFO - Batch 250 | Data: 0.001s | Step: 0.118s | Loss: 0.9156
2026-04-05 09:45:42,987 - INFO - Batch 300 | Data: 0.001s | Step: 0.118s | Loss: 0.9584
2026-04-05 09:45:56,440 - INFO - Batch 350 | Data: 0.001s | Step: 0.118s | Loss: 1.0723
2026-04-05 09:46:18,174 - INFO - Batch 0 | Data: 0.037s | Step: 0.118s | Loss: 0.7861
2026-04-05 09:46:31,629 - INFO - Batch 50 | Data: 0.001s | Step: 0.118s | Loss: 0.9030
2026-04-05 09:46:45,080 - INFO - Batch 100 | Data: 0.001s | Step: 0.118s | Loss: 0.8725
2026-04-05 09:46:58,531 - INFO - Batch 150 | Data: 0.001s | Step: 0.118s | Loss: 1.0471
2026-04-05 09:47:11,985 - INFO - Batch 200 | Data: 0.001s | Step: 0.118s | Loss: 1.0555
2026-04-05 09:47:25,437 - INFO - Batch 250 | Data: 0.001s | Step: 0.118s | Loss: 0.9319
2026-04-05 09:47:38,891 - INFO - Batch 300 | Data: 0.001s | Step: 0.118s | Loss: 0.8022
2026-04-05 09:47:52,344 - INFO - Batch 350 | Data: 0.001s | Step: 0.118s | Loss: 0.8354
2026-04-05 09:48:14,267 - INFO - Batch 0 | Data: 0.037s | Step: 0.118s | Loss: 1.0383
2026-04-05 09:48:27,713 - INFO - Batch 50 | Data: 0.001s | Step: 0.118s | Loss: 0.9104
2026-04-05 09:48:41,171 - INFO - Batch 100 | Data: 0.001s | Step: 0.118s | Loss: 1.2028
